,dept_id,dept_name,dept_head,employee_id,age,gender,marital_status,avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
0,D00-PR,Procurement,Louie Viles,113558,43,Male,Married,111.0,0.0,0.753977,5,1.0,medium,0.921208,Employed,4.0
1,D00-MN,Management,Ellie Trafton,112256,24,Female,Unmarried,201.0,0.0,0.964453,3,0.0,medium,0.568479,Employed,3.0
2,D00-SS,Sales,Edward J Bayley,112586,22,Female,Unmarried,239.0,0.0,0.756458,3,0.0,low,0.144812,Employed,6.0
3,D00-PR,Procurement,Louie Viles,108071,36,Male,Married,151.0,0.0,0.608282,5,0.0,medium,0.2103,Employed,6.0
4,D00-IT,IT,Henry Adey,116915,38,Male,Married,259.0,0.0,0.749206,4,0.0,medium,0.888514,Employed,3.0
5,D00-SP,Support,Amelia Westray,104555,22,Male,Unmarried,180.0,0.0,0.772377,3,0.0,low,0.356638,Employed,6.0
6,D00-SS,Sales,Edward J Bayley,104706,51,Male,Married,194.0,0.0,0.534309,5,0.0,high,0.969191,Employed,2.0
7,D00-IT,IT,Henry Adey,118536,54,Male,Married,269.0,0.0,0.843665,6,0.0,low,0.0847653,Left,4.0
8,D00-SP,Support,Amelia Westray,111712,43,Male,Married,192.0,0.0,0.750987,4,0.0,low,0.617988,Employed,2.0
9,D00-SS,Sales,Edward J Bayley,119150,49,Male,Married,205.0,1.0,0.534207,4,0.0,low,0.129333,Employed,5.0
10,D00-SP,Support,Amelia Westray,109162,37,Male,Married,218.0,0.0,0.930761,5,0.0,medium,0.80065,Left,5.0
11,D00-ENG,Engineering,Sushant Raghunathan K,105251,27,Male,Unmarried,238.0,0.0,0.687163,3,0.0,medium,0.820344,Employed,2.0
12,D00-ENG,Engineering,Sushant Raghunathan K,104544,43,Female,Married,165.0,0.0,0.772913,4,0.0,high,1.0,Employed,3.0
13,D00-SS,Sales,Edward J Bayley,102700,47,Male,Married,258.0,0.0,1.0,4,0.0,medium,0.529034,Employed,2.0
14,D00-SS,Sales,Edward J Bayley,113732,28,Male,Unmarried,234.0,0.0,0.623682,3,0.0,medium,0.860094,Employed,3.0
15,D00-PD,Product,Darcy Staines,108147,53,Male,Married,291.0,0.0,0.885668,6,0.0,low,0.157136,Left,4.0
16,D00-IT,IT,Henry Adey,110690,28,Male,Unmarried,251.0,0.0,0.95028,4,0.0,low,0.578013,Employed,2.0
17,D00-SP,Support,Amelia Westray,115701,24,Male,Unmarried,224.0,0.0,0.603898,3,0.0,medium,0.959622,Employed,2.0
18,D00-SS,Sales,Edward J Bayley,108054,39,Male,Married,233.0,0.0,0.913237,5,0.0,low,0.891644,Employed,3.0
19,D00-MT,Marketing,Reuben Swann,116648,43,Male,Married,218.0,0.0,0.7149338820301783,4,0.0,medium,0.909005,Employed,3.0
20,D00-SP,Support,Amelia Westray,102076,35,Female,Married,133.0,0.0,0.557253,4,0.0,low,0.559044,Employed,3.0
21,D00-SS,Sales,Edward J Bayley,114178,42,Male,Married,245.0,0.0,0.690041,5,0.0,medium,0.876453,Employed,2.0
22,D00-MT,Marketing,Reuben Swann,106163,22,Male,Unmarried,149.0,0.0,0.7149338820301783,2,0.0,low,0.376832,Left,3.0
23,D00-PD,Product,Darcy Staines,102212,49,Male,Married,223.0,1.0,0.81196,5,0.0,medium,0.753583,Left,5.0
24,D00-IT,IT,Henry Adey,109063,38,Male,Married,207.0,0.0,0.7195245440329218,4,0.0,low,0.653898,Employed,2.0
25,D00-ENG,Engineering,Sushant Raghunathan K,115820,40,Female,Married,189.0,0.0,0.7227253766623767,4,0.0,low,0.202714,Employed,2.0
26,D00-TP,Temp,Micheal Zachrey,106779,23,Female,Unmarried,81.0,0.0,0.0,1,0.0,high,0.0,Employed,0.0
27,D00-SP,Support,Amelia Westray,115751,23,Female,Unmarried,179.0,0.0,0.604449,3,0.0,medium,0.63486,Employed,3.0
28,D00-SS,Sales,Edward J Bayley,100258,22,Male,Unmarried,258.0,0.0,0.611588,4,0.0,medium,0.5325,Employed,3.0
29,D00-ENG,Engineering,Sushant Raghunathan K,106928,27,Male,Unmarried,145.0,0.0,0.346225,4,0.0,medium,0.628679,Employed,5.0
30,D00-ENG,Engineering,Sushant Raghunathan K,114114,45,Female,Married,262.0,0.0,0.619149,5,0.0,medium,0.70503,Employed,2.0
31,D00-UKN,Unknown,Unknown,100745,24,Female,Unmarried,183.0,0.0,0.96856,4,0.0,low,0.613921,Employed,2.0
32,D00-ENG,Engineering,Sushant Raghunathan K,106575,25,Male,Unmarried,159.0,0.0,0.606688,3,0.0,medium,0.732237,Employed,3.0
33,D00-SS,Sales,Edward J Bayley,106011,30,Male,Married,259.0,0.0,0.627583,5,0.0,low,0.762133,Employed,3.0
34,D00-SP,Support,Amelia Westray,101543,47,Male,Married,265.0,0.0,0.591324,4,0.0,medium,0.553021,Employed,2.0
35,D00-ENG,Engineering,Sushant Raghunathan K,121359,25,Female,Unmarried,271.0,0.0,0.946384,5,0.0,low,0.934184,Left,5.0
36,D00-UKN,Unknown,Unknown,118103,51,Female,Married,98.0,0.0,0.460061,4,0.0,medium,0.789979,Employed,4.0
37,D00-ENG,Engineering,Sushant Raghunathan K,105165,37,Male,Married,257.0,0.0,0.864304,5,0.0,medium,0.776482,Left,5.0
38,D00-PD,Product,Darcy Staines,109291,51,Male,Married,246.0,1.0,0.719523343832021,4,0.0,low,0.950969,Employed,3.0
39,D00-ENG,Engineering,Sushant Raghunathan K,111129,22,Female,Unmarried,128.0,0.0,0.500299,2,0.0,medium,0.471927,Left,3.0
40,D00-MT,Marketing,Reuben Swann,110538,24,Female,Unmarried,148.0,0.0,0.587,2,0.0,high,0.487714,Left,3.0
41,D00-ENG,Engineering,Sushant Raghunathan K,110339,23,Female,Unmarried,158.0,1.0,0.641864,4,0.0,low,0.150043,Left,4.0
42,D00-SS,Sales,Edward J Bayley,114826,23,Female,Unmarried,153.0,1.0,0.496785,2,0.0,low,0.367253,Left,3.0
43,D00-UKN,Unknown,Unknown,135194,34,Female,Married,274.0,0.0,0.906298,4,0.0,medium,0.81923,Employed,3.0
